baseAsset,maxMarketOrderQty,minMarketOrderQty,minOrderValue,minTickSize,minTradeAmount,quoteAsset
ETH,63100,,0.0001,0.000001,0.001,BTC
LTC,72500,,0.0001,0.000001,0.01,BTC
BNB,1769700,,0.0001,0.0000001,0.01,BTC
NEO,365600,,0.0001,0.000001,0.01,BTC
QTUM,146600,,0.01,0.000001,0.01,ETH
EOS,286200,,0.01,0.000001,0.01,ETH
SNT,7648700,,0.01,0.00000001,1,ETH
BNT,356100,,0.01,0.000001,0.01,ETH
GAS,111700,,0.0001,0.0000001,0.01,BTC
BNB,68100,,0.01,0.000001,0.01,ETH
BTC,3200,,10,0.01,0.000001,USDT
ETH,52400,,10,0.01,0.00001,USDT
OAX,822600,,0.01,0.0000001,1,ETH
DNT,7750800,,0.01,0.00000001,1,ETH
MCO,29700,,0.01,0.000001,0.01,ETH
MCO,226300,,0.0001,0.0000001,0.01,BTC
WTC,1489800,,0.0001,0.0000001,0.01,BTC
WTC,120000,,0.01,0.000001,0.01,ETH
LRC,8481800,,0.0001,0.00000001,1,BTC
LRC,3072100,,0.01,0.00000001,1,ETH
QTUM,554400,,0.0001,0.0000001,0.01,BTC
YOYO,41680800,,0.0001,0.00000001,1,BTC
OMG,371100,,0.0001,0.0000001,0.01,BTC
OMG,372000,,0.01,0.000001,0.01,ETH
ZRX,4510800,,0.0001,0.00000001,1,BTC
ZRX,1617600,,0.01,0.00000001,1,ETH
STRAT,1022300,,0.0001,0.00000001,1,BTC
STRAT,247900,,0.01,0.000001,0.01,ETH
SNGLS,23413000,,0.0001,0.00000001,1,BTC
SNGLS,6821000,,0.01,0.00000001,1,ETH
BQX,12797800,,0.0001,0.00000001,1,BTC
BQX,1303500,,0.01,0.0000001,1,ETH
KNC,5147500,,0.0001,0.00000001,1,BTC
KNC,3642600,,0.01,0.0000001,1,ETH
FUN,51853200,,0.0001,0.00000001,1,BTC
FUN,62536900,,0.01,0.00000001,1,ETH
SNM,8975000,,0.0001,0.00000001,1,BTC
SNM,4705100,,0.01,0.00000001,1,ETH
NEO,130000,,0.01,0.000001,0.01,ETH
IOTA,12315300,,0.0001,0.00000001,1,BTC
IOTA,2518700,,0.01,0.00000001,1,ETH
LINK,2976000,,0.0001,0.00000001,1,BTC
LINK,385500,,0.01,0.00000001,1,ETH
XVG,76202500,,0.0001,0.00000001,1,BTC
XVG,47534300,,0.01,0.00000001,1,ETH
MDA,1092600,,0.0001,0.00000001,1,BTC
MDA,178800,,0.01,0.0000001,1,ETH
MTL,840000,,0.0001,0.00000001,1,BTC
MTL,214800,,0.01,0.000001,0.01,ETH
EOS,1684200,,0.0001,0.0000001,0.01,BTC
SNT,12415800,,0.0001,0.00000001,1,BTC
ETC,37600,,0.01,0.000001,0.01,ETH
ETC,343000,,0.0001,0.0000001,0.01,BTC
MTH,26826400,,0.0001,0.00000001,1,BTC
MTH,10684900,,0.01,0.00000001,1,ETH
ENG,2283700,,0.0001,0.00000001,1,BTC
ENG,844200,,0.01,0.0000001,1,ETH
DNT,26246600,,0.0001,0.00000001,1,BTC
ZEC,27800,,0.0001,0.000001,0.001,BTC
ZEC,6700,,0.01,0.00001,0.001,ETH
BNT,911500,,0.0001,0.00000001,1,BTC
AST,16333300,,0.0001,0.00000001,1,BTC
AST,3134700,,0.01,0.0000001,1,ETH
DASH,12600,,0.0001,0.000001,0.001,BTC
DASH,2400,,0.01,0.00001,0.001,ETH
OAX,3892200,,0.0001,0.00000001,1,BTC
BTG,83200,,0.0001,0.000001,0.01,BTC
